"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
"LYAR"	"Q9NX58"	"Cell growth-regulating nucleolar protein"	"LYAR"	"LYAR"
"LYN"	"P07948"	"Tyrosine-protein kinase Lyn"	"LYN"	"LYN"
"LYPD3"	"O95274"	"Ly6/PLAUR domain-containing protein 3"	"LYPD3"	"LYPD3"
"LYPLA1"	"O75608;O75608-2"	"Acyl-protein thioesterase 1"	"LYPLA1"	"LYPLA1"
"LYPLA2"	"O95372"	"Acyl-protein thioesterase 2"	"LYPLA2"	"LYPLA2"
"LYPLAL1"	"Q5VWZ2;Q5VWZ2-2"	"Lysophospholipase-like protein 1"	"LYPLAL1"	"LYPLAL1"
"LYRM4"	"Q9HD34"	"LYR motif-containing protein 4"	"LYRM4"	"LYRM4"
"LYRM5"	"Q6IPR1"	"LYR motif-containing protein 5"	"LYRM5"	"LYRM5"
"LYRM7"	"Q5U5X0"	"Complex III assembly factor LYRM7"	"LYRM7"	"LYRM7"
"LZIC"	"Q8WZA0;Q8WZA0-2"	"Protein LZIC"	"LZIC"	"LZIC"
"LZTFL1"	"Q9NQ48;Q9NQ48-3;Q9NQ48-2"	"Leucine zipper transcription factor-like protein 1"	"LZTFL1"	"LZTFL1"
"LZTS1"	"Q9Y250-2;Q9Y250;Q9Y250-4;Q9Y250-3;Q9Y250-5;Q9Y250-6"	"Leucine zipper putative tumor suppressor 1"	"LZTS1"	"LZTS1"
"M6PR"	"P20645"	"Cation-dependent mannose-6-phosphate receptor"	"M6PR"	"M6PR"
"MACC1"	"Q6ZN28"	"Metastasis-associated in colon cancer protein 1"	"MACC1"	"MACC1"
"MACROD1"	"Q9BQ69"	"O-acetyl-ADP-ribose deacetylase MACROD1"	"MACROD1"	"MACROD1"
"MACROD2"	"A1Z1Q3;A1Z1Q3-2;A1Z1Q3-6;A1Z1Q3-4"	"O-acetyl-ADP-ribose deacetylase MACROD2"	"MACROD2"	"MACROD2"
"MAD1L1"	"Q9Y6D9;Q9Y6D9-3"	"Mitotic spindle assembly checkpoint protein MAD1"	"MAD1L1"	"MAD1L1"
"MAFF"	"Q9ULX9;Q9ULX9-2;O60675;O15525"	"Transcription factor MafF"	"MAFF"	"MAFF"
"MAGED2"	"Q9UNF1-2;Q9UNF1;Q9Y5V3;Q9Y5V3-2"	"Melanoma-associated antigen D2"	"MAGED2"	"MAGED2"
"MAGI1"	"Q96QZ7-6;Q96QZ7-2;Q96QZ7;Q96QZ7-3;Q96QZ7-5;Q96QZ7-7;Q96QZ7-4"	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1"	"MAGI1"	"MAGI1"
"MAGI3"	"Q5TCQ9-3;Q5TCQ9-4;Q5TCQ9-2;Q5TCQ9"	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3"	"MAGI3"	"MAGI3"
"MAGOHB"	"Q96A72"	"Protein mago nashi homolog 2"	"MAGOHB"	"MAGOHB"
"MAGT1"	"Q9H0U3;Q9H0U3-2"	"Magnesium transporter protein 1"	"MAGT1"	"MAGT1"
"MAK16"	"Q9BXY0"	"Protein MAK16 homolog"	"MAK16"	"MAK16"
"MAL2"	"Q969L2"	"Protein MAL2"	"MAL2"	"MAL2"
"MAN1A1"	"P33908;P33908-2"	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"	"MAN1A1"	"MAN1A1"
"MAN1A2"	"O60476"	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"	"MAN1A2"	"MAN1A2"
"MAN1B1"	"Q9UKM7"	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase"	"MAN1B1"	"MAN1B1"
"MAN2A1"	"Q16706"	"Alpha-mannosidase 2"	"MAN2A1"	"MAN2A1"
"MAN2B1"	"O00754-2;O00754"	"Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide"	"MAN2B1"	"MAN2B1"
"MAN2B2"	"Q9Y2E5-2;Q9Y2E5"	"Epididymis-specific alpha-mannosidase"	"MAN2B2"	"MAN2B2"
"MAN2C1"	"Q9NTJ4-4;Q9NTJ4-2;Q9NTJ4;Q9NTJ4-3"	"Alpha-mannosidase 2C1"	"MAN2C1"	"MAN2C1"
"MANBA"	"O00462"	"Beta-mannosidase"	"MANBA"	"MANBA"
"MANF"	"P55145"	"Mesencephalic astrocyte-derived neurotrophic factor"	"MANF"	"MANF"
"MAOA"	"P21397;P21397-2"	"Amine oxidase [flavin-containing] A"	"MAOA"	"MAOA"
"MAOB"	"P27338;P27338-2"	"Amine oxidase [flavin-containing] B"	"MAOB"	"MAOB"
"MAP1B"	"P46821"	"Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1"	"MAP1B"	"MAP1B"
"MAP1S"	"Q66K74;Q66K74-2"	"Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain"	"MAP1S"	"MAP1S"
"MAP2"	"P11137-3;P11137;P11137-2;P11137-4"	"Microtubule-associated protein 2"	"MAP2"	"MAP2"
"MAP2K1"	"Q02750;Q02750-2"	"Dual specificity mitogen-activated protein kinase kinase 1"	"MAP2K1"	"MAP2K1"
"MAP2K2"	"P36507"	"Dual specificity mitogen-activated protein kinase kinase 2"	"MAP2K2"	"MAP2K2"
"MAP2K3"	"P46734;P46734-3;P46734-2"	"Dual specificity mitogen-activated protein kinase kinase 3"	"MAP2K3"	"MAP2K3"
"MAP2K4"	"P45985;P45985-2"	"Dual specificity mitogen-activated protein kinase kinase 4"	"MAP2K4"	"MAP2K4"
"MAP2K6"	"P52564;P52564-2"	"Dual specificity mitogen-activated protein kinase kinase 6"	"MAP2K6"	"MAP2K6"
"MAP2K7"	"O14733;O14733-3;O14733-2;O14733-4"	"Dual specificity mitogen-activated protein kinase kinase 7"	"MAP2K7"	"MAP2K7"
"MAP3K1"	"Q13233"	"Mitogen-activated protein kinase kinase kinase 1"	"MAP3K1"	"MAP3K1"
"MAP3K14"	"Q99558"	"Mitogen-activated protein kinase kinase kinase 14"	"MAP3K14"	"MAP3K14"
"MAP3K4"	"Q9Y6R4-2;Q9Y6R4"	"Mitogen-activated protein kinase kinase kinase 4"	"MAP3K4"	"MAP3K4"
"MAP3K5"	"Q99683-2;Q99683"	"Mitogen-activated protein kinase kinase kinase 5"	"MAP3K5"	"MAP3K5"
"MAP3K6"	"O95382-3;O95382"	"Mitogen-activated protein kinase kinase kinase 6"	"MAP3K6"	"MAP3K6"
"MAP3K7"	"O43318-2;O43318;O43318-4;O43318-3"	"Mitogen-activated protein kinase kinase kinase 7"	"MAP3K7"	"MAP3K7"
"MAP4"	"P27816;P27816-6;P27816-2;P27816-5;P27816-7;P27816-3"	"Microtubule-associated protein 4"	"MAP4"	"MAP4"
"MAP4K5"	"Q9Y4K4"	"Mitogen-activated protein kinase kinase kinase kinase 5"	"MAP4K5"	"MAP4K5"
"MAP7"	"Q14244;Q14244-6;Q14244-7;Q14244-3;Q14244-5"	"Ensconsin"	"MAP7"	"MAP7"
"MAP7D1"	"Q3KQU3-2;Q3KQU3-4;Q3KQU3;Q3KQU3-3"	"MAP7 domain-containing protein 1"	"MAP7D1"	"MAP7D1"
"MAPK1"	"P28482;P28482-2;P31152"	"Mitogen-activated protein kinase 1"	"MAPK1"	"MAPK1"
"MAPK13"	"O15264;O15264-2;P53778-2;P53778"	"Mitogen-activated protein kinase 13"	"MAPK13"	"MAPK13"
"MAPK14"	"Q16539;Q16539-3;Q16539-5;Q16539-4"	"Mitogen-activated protein kinase 14"	"MAPK14"	"MAPK14"
"MAPK3"	"P27361;P27361-2;P27361-3"	"Mitogen-activated protein kinase 3"	"MAPK3"	"MAPK3"
"MAPK8"	"P45983-3;P45983-2;P45983-4;P45983;P53779-4;P45983-5"	"Mitogen-activated protein kinase 8"	"MAPK8"	"MAPK8"
"MAPK9"	"P45984-3;P45984-2;P45984-4;P45984;P45984-5"	"Mitogen-activated protein kinase 9"	"MAPK9"	"MAPK9"
"MAPKAP1"	"Q9BPZ7-5;Q9BPZ7-6;Q9BPZ7-3;Q9BPZ7-2;Q9BPZ7"	"Target of rapamycin complex 2 subunit MAPKAP1"	"MAPKAP1"	"MAPKAP1"
"MAPKAPK2"	"P49137;P49137-2"	"MAP kinase-activated protein kinase 2"	"MAPKAPK2"	"MAPKAPK2"
"MAPKBP1"	"O60336-4;O60336-3;O60336-6;O60336;O60336-2"	"Mitogen-activated protein kinase-binding protein 1"	"MAPKBP1"	"MAPKBP1"
"MAPRE1"	"Q15691"	"Microtubule-associated protein RP/EB family member 1"	"MAPRE1"	"MAPRE1"
"MAPRE2"	"Q15555-5;Q15555-3;Q15555;Q15555-4;Q15555-2"	"Microtubule-associated protein RP/EB family member 2"	"MAPRE2"	"MAPRE2"
"MAPRE3"	"Q9UPY8"	"Microtubule-associated protein RP/EB family member 3"	"MAPRE3"	"MAPRE3"
"MAPT"	"P10636;P10636-9"	"Microtubule-associated protein tau"	"MAPT"	"MAPT"
"MARC1"	"Q5VT66;Q5VT66-2;Q5VT66-3"	"Mitochondrial amidoxime-reducing component 1"	"MARC1"	"MARC1"
"MARC2"	"Q969Z3;Q969Z3-2"	"Mitochondrial amidoxime reducing component 2"	"MARC2"	"MARC2"
"MARCH5"	"Q9NX47"	"E3 ubiquitin-protein ligase MARCH5"	"MARCH5"	"MARCH5"
"MARCKS"	"P29966"	"Myristoylated alanine-rich C-kinase substrate"	"MARCKS"	"MARCKS"
"MARCKSL1"	"P49006"	"MARCKS-related protein"	"MARCKSL1"	"MARCKSL1"
"MARK2"	"Q7KZI7-15;Q7KZI7-16"	"Serine/threonine-protein kinase MARK2"	"MARK2"	"MARK2"
"MARK3"	"P27448-6;P27448-3;P27448-4;P27448-2;P27448;P27448-7;P27448-8"	"MAP/microtubule affinity-regulating kinase 3"	"MARK3"	"MARK3"
"MARS"	"P56192;P56192-2"	"Methionine--tRNA ligase, cytoplasmic"	"MARS"	"MARS"
"MARS2"	"Q96GW9"	"Methionine--tRNA ligase, mitochondrial"	"MARS2"	"MARS2"
"MAST4"	"O15021-2;O15021-3;O15021-1;O15021;Q6P0Q8-2;Q6P0Q8"	"Microtubule-associated serine/threonine-protein kinase 4"	"MAST4"	"MAST4"
"MAT2A"	"P31153;P31153-2"	"S-adenosylmethionine synthase isoform type-2"	"MAT2A"	"MAT2A"
"MAT2B"	"Q9NZL9;Q9NZL9-2;Q9NZL9-4;Q9NZL9-3;Q9NZL9-5"	"Methionine adenosyltransferase 2 subunit beta"	"MAT2B"	"MAT2B"
"MATR3"	"P43243;P43243-2"	"Matrin-3"	"MATR3"	"MATR3"
"MAU2"	"Q9Y6X3;Q9Y6X3-3;Q9Y6X3-2"	"MAU2 chromatid cohesion factor homolog"	"MAU2"	"MAU2"
"MAVS"	"Q7Z434;Q7Z434-4;Q7Z434-2;Q7Z434-5;Q7Z434-6;Q7Z434-3"	"Mitochondrial antiviral-signaling protein"	"MAVS"	"MAVS"
"MB"	"P02144"	"Myoglobin"	"MB"	"MB"
"MBD1"	"Q9UIS9-7;Q9UIS9-5;Q9UIS9-10;Q9UIS9;Q9UIS9-9;Q9UIS9-12;Q9UIS9-4;Q9UIS9-11;Q9UIS9-8;Q9UIS9-2;Q9UIS9-6"	"Methyl-CpG-binding domain protein 1"	"MBD1"	"MBD1"
"MBD2"	"Q9UBB5;Q9UBB5-3"	"Methyl-CpG-binding domain protein 2"	"MBD2"	"MBD2"
"MBD3"	"O95983-2;O95983"	"Methyl-CpG-binding domain protein 3"	"MBD3"	"MBD3"
"MBD4"	"O95243-6;O95243-5;O95243-2;O95243;O95243-3"	"Methyl-CpG-binding domain protein 4"	"MBD4"	"MBD4"
"MBLAC2"	"Q68D91;Q68D91-2"	"Metallo-beta-lactamase domain-containing protein 2"	"MBLAC2"	"MBLAC2"
"MBNL1"	"Q9NR56;Q9NR56-7;Q9NUK0-2;Q9NUK0;Q9NUK0-4;Q9NUK0-3"	"Muscleblind-like protein 1"	"MBNL1"	"MBNL1"
"MBNL2"	"Q5VZF2-3;Q5VZF2-2;Q5VZF2"	"Muscleblind-like protein 2"	"MBNL2"	"MBNL2"
"MBOAT7"	"Q96N66;Q96N66-2;Q96N66-3"	"Lysophospholipid acyltransferase 7"	"MBOAT7"	"MBOAT7"
"MBP"	"P02686-6;P02686-5;P02686-4;P02686-3;P02686;P02686-2"	"Myelin basic protein"	"MBP"	"MBP"
"MCAM"	"P43121;P43121-2"	"Cell surface glycoprotein MUC18"	"MCAM"	"MCAM"
"MCAT"	"Q8IVS2;Q8IVS2-2"	"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial"	"MCAT"	"MCAT"
"MCCC1"	"Q96RQ3"	"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"	"MCCC1"	"MCCC1"
"MCCC2"	"Q9HCC0;Q9HCC0-2"	"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"	"MCCC2"	"MCCC2"
"MCEE"	"Q96PE7"	"Methylmalonyl-CoA epimerase, mitochondrial"	"MCEE"	"MCEE"
"MCFD2"	"Q8NI22;Q8NI22-2;Q8NI22-3"	"Multiple coagulation factor deficiency protein 2"	"MCFD2"	"MCFD2"
"MCL1"	"Q07820;Q07820-2"	"Induced myeloid leukemia cell differentiation protein Mcl-1"	"MCL1"	"MCL1"
"MCM2"	"P49736"	"DNA replication licensing factor MCM2"	"MCM2"	"MCM2"
"MCM3"	"P25205;P25205-2"	"DNA replication licensing factor MCM3"	"MCM3"	"MCM3"
"MCM3AP"	"O60318;O60318-2"	"Germinal-center associated nuclear protein"	"MCM3AP"	"MCM3AP"
"MCM4"	"P33991;Q9UJA3-2;Q9UJA3-3;Q9UJA3;Q9UJA3-4"	"DNA replication licensing factor MCM4"	"MCM4"	"MCM4"
"MCM5"	"P33992"	"DNA replication licensing factor MCM5"	"MCM5"	"MCM5"
"MCM6"	"Q14566"	"DNA replication licensing factor MCM6"	"MCM6"	"MCM6"
"MCM7"	"P33993;P33993-3;P33993-2"	"DNA replication licensing factor MCM7"	"MCM7"	"MCM7"
"MCMBP"	"Q9BTE3-2;Q9BTE3;Q9BTE3-3"	"Mini-chromosome maintenance complex-binding protein"	"MCMBP"	"MCMBP"
"MCRS1"	"Q96EZ8-3;Q96EZ8;Q96EZ8-2;Q96EZ8-4"	"Microspherule protein 1"	"MCRS1"	"MCRS1"
"MCTS1"	"Q9ULC4;Q9ULC4-3;Q9ULC4-2"	"Malignant T-cell-amplified sequence 1"	"MCTS1"	"MCTS1"
"MCU"	"Q8NE86-3;Q8NE86;Q8NE86-2"	"Calcium uniporter protein, mitochondrial"	"MCU"	"MCU"
"MDC1"	"Q14676-2;Q14676;Q14676-3;Q14676-4"	"Mediator of DNA damage checkpoint protein 1"	"MDC1"	"MDC1"
"MDH1"	"P40925;P40925-3;P40925-2"	"Malate dehydrogenase, cytoplasmic"	"MDH1"	"MDH1"
"MDH2"	"P40926;P40926-2"	"Malate dehydrogenase, mitochondrial"	"MDH2"	"MDH2"
"MDN1"	"Q9NU22;REV__P21359-3;REV__P21359-5"	"Midasin"	"MDN1"	"MDN1"
"MDP1"	"Q86V88-3;Q86V88-2;Q86V88"	"Magnesium-dependent phosphatase 1"	"MDP1"	"MDP1"
"ME2"	"P23368;P23368-2"	"NAD-dependent malic enzyme, mitochondrial"	"ME2"	"ME2"
"ME3"	"Q16798;Q16798-2"	"NADP-dependent malic enzyme, mitochondrial"	"ME3"	"ME3"
"MEAF6"	"Q9HAF1-2;Q9HAF1;Q9HAF1-4;Q9HAF1-3"	"Chromatin modification-related protein MEAF6"	"MEAF6"	"MEAF6"
"MECP2"	"P51608-2;P51608"	"Methyl-CpG-binding protein 2"	"MECP2"	"MECP2"
"MECR"	"Q9BV79;Q9BV79-2"	"Trans-2-enoyl-CoA reductase, mitochondrial"	"MECR"	"MECR"
"MED1"	"Q15648;Q15648-3"	"Mediator of RNA polymerase II transcription subunit 1"	"MED1"	"MED1"
"MED12"	"Q93074-3;Q93074;Q93074-2"	"Mediator of RNA polymerase II transcription subunit 12"	"MED12"	"MED12"
"MED14"	"O60244"	"Mediator of RNA polymerase II transcription subunit 14"	"MED14"	"MED14"
"MED15"	"Q96RN5-3;Q96RN5-2;Q96RN5"	"Mediator of RNA polymerase II transcription subunit 15"	"MED15"	"MED15"
"MED16"	"Q9Y2X0-2;Q9Y2X0-3;Q9Y2X0;Q9Y2X0-5;Q9Y2X0-4"	"Mediator of RNA polymerase II transcription subunit 16"	"MED16"	"MED16"
"MED17"	"Q9NVC6;Q9NVC6-2"	"Mediator of RNA polymerase II transcription subunit 17"	"MED17"	"MED17"
"MED18"	"Q9BUE0"	"Mediator of RNA polymerase II transcription subunit 18"	"MED18"	"MED18"
"MED19"	"A0JLT2-2;A0JLT2"	"Mediator of RNA polymerase II transcription subunit 19"	"MED19"	"MED19"
"MED20"	"Q9H944;Q9H944-2"	"Mediator of RNA polymerase II transcription subunit 20"	"MED20"	"MED20"
"MED21"	"Q13503"	"Mediator of RNA polymerase II transcription subunit 21"	"MED21"	"MED21"
"MED23"	"Q9ULK4-4;Q9ULK4-5;Q9ULK4-3;Q9ULK4;Q9ULK4-2;Q9ULK4-6"	"Mediator of RNA polymerase II transcription subunit 23"	"MED23"	"MED23"
"MED24"	"O75448-2;O75448"	"Mediator of RNA polymerase II transcription subunit 24"	"MED24"	"MED24"
"MED25"	"Q71SY5-5;Q71SY5;Q71SY5-2;Q71SY5-4;Q71SY5-3;Q71SY5-6"	"Mediator of RNA polymerase II transcription subunit 25"	"MED25"	"MED25"
"MED29"	"Q9NX70;Q9NX70-2"	"Mediator of RNA polymerase II transcription subunit 29"	"MED29"	"MED29"
"MED30"	"Q96HR3-2;Q96HR3"	"Mediator of RNA polymerase II transcription subunit 30"	"MED30"	"MED30"
"MED4"	"Q9NPJ6;Q9NPJ6-2"	"Mediator of RNA polymerase II transcription subunit 4"	"MED4"	"MED4"
"MED6"	"O75586;O75586-2;O75586-3"	"Mediator of RNA polymerase II transcription subunit 6"	"MED6"	"MED6"
"MED8"	"Q96G25;Q96G25-2;Q96G25-3"	"Mediator of RNA polymerase II transcription subunit 8"	"MED8"	"MED8"
"MED9"	"Q9NWA0"	"Mediator of RNA polymerase II transcription subunit 9"	"MED9"	"MED9"
"MEF2D"	"Q14814-4;Q14814;Q14814-6;Q14814-3;Q14814-5;Q14814-2;Q06413-4;Q06413-3;Q06413-6;Q06413-2;Q06413;Q06413-5;Q02078-4;Q02078-6;Q02078-3;Q02078-5;Q02078-2;Q02078"	"Myocyte-specific enhancer factor 2D"	"MEF2D"	"MEF2D"
"MEGF10"	"Q96KG7;Q96KG7-2"	"Multiple epidermal growth factor-like domains protein 10"	"MEGF10"	"MEGF10"
"MEMO1"	"Q9Y316;Q9Y316-2;Q9Y316-3"	"Protein MEMO1"	"MEMO1"	"MEMO1"
"MEN1"	"O00255-3;O00255-2;O00255"	"Menin"	"MEN1"	"MEN1"
"MEPCE"	"Q7L2J0;Q7L2J0-2"	"7SK snRNA methylphosphate capping enzyme"	"MEPCE"	"MEPCE"
"MESDC2"	"Q14696;Q14696-2"	"LDLR chaperone MESD"	"MESDC2"	"MESDC2"
"MEST"	"Q5EB52-2;Q5EB52;Q5EB52-3"	"Mesoderm-specific transcript homolog protein"	"MEST"	"MEST"
"METAP1"	"P53582"	"Methionine aminopeptidase 1"	"METAP1"	"METAP1"
"METAP1D"	"Q6UB28"	"Methionine aminopeptidase 1D, mitochondrial"	"METAP1D"	"METAP1D"
"METAP2"	"P50579;P50579-3;P50579-2"	"Methionine aminopeptidase 2"	"METAP2"	"METAP2"
"METTL1"	"Q9UBP6"	"tRNA (guanine-N(7)-)-methyltransferase"	"METTL1"	"METTL1"
"METTL13"	"Q8N6R0-3;Q8N6R0;Q8N6R0-4;Q8N6R0-1;Q8N6R0-2"	"Methyltransferase-like protein 13"	"METTL13"	"METTL13"
"METTL14"	"Q9HCE5"	"N6-adenosine-methyltransferase subunit METTL14"	"METTL14"	"METTL14"
"METTL15;METTL15P1"	"A6NJ78;A6NJ78-3;P0C7V9;A6NJ78-2;A6NJ78-4"	"Probable methyltransferase-like protein 15;Putative methyltransferase-like protein 15P1"	"METTL15;METTL15P1"	"METTL15;METTL15P1"
"METTL16"	"Q86W50;Q86W50-2"	"Methyltransferase-like protein 16"	"METTL16"	"METTL16"
"METTL3"	"Q86U44;Q86U44-2"	"N6-adenosine-methyltransferase 70 kDa subunit"	"METTL3"	"METTL3"
"METTL7A"	"Q9H8H3"	"Methyltransferase-like protein 7A"	"METTL7A"	"METTL7A"
"MFAP1"	"P55081"	"Microfibrillar-associated protein 1"	"MFAP1"	"MFAP1"
"MFF"	"Q9GZY8-2;Q9GZY8;Q9GZY8-4;Q9GZY8-5;Q9GZY8-3"	"Mitochondrial fission factor"	"MFF"	"MFF"
"MFGE8"	"Q08431-3;Q08431"	"Lactadherin;Lactadherin short form;Medin"	"MFGE8"	"MFGE8"
"MFI2"	"P08582;P08582-2"	"Melanotransferrin"	"MFI2"	"MFI2"
"MFN1"	"Q8IWA4;Q8IWA4-3;Q8IWA4-2"	"Mitofusin-1"	"MFN1"	"MFN1"
"MFN2"	"O95140;O95140-2"	"Mitofusin-2"	"MFN2"	"MFN2"
"MFSD10"	"Q14728"	"Major facilitator superfamily domain-containing protein 10"	"MFSD10"	"MFSD10"
"MGA"	"Q8IWI9-3;Q8IWI9;Q8IWI9-4;Q8IWI9-2"	"MAX gene-associated protein"	"MGA"	"MGA"
"MGAT1"	"P26572"	"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	"MGAT1"	"MGAT1"
"MGAT2"	"Q10469"	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	"MGAT2"	"MGAT2"
"MGAT4B"	"Q9UQ53-2;Q9UQ53;Q9UQ53-3"	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"	"MGAT4B"	"MGAT4B"
"MGEA5"	"O60502;O60502-4;O60502-2;O60502-3"	"Protein O-GlcNAcase"	"MGEA5"	"MGEA5"
"MGLL"	"Q99685;Q99685-2"	"Monoglyceride lipase"	"MGLL"	"MGLL"
"MGME1"	"Q9BQP7"	"Mitochondrial genome maintenance exonuclease 1"	"MGME1"	"MGME1"
"MGMT"	"P16455"	"Methylated-DNA--protein-cysteine methyltransferase"	"MGMT"	"MGMT"
"MGP"	"P08493;P08493-2"	"Matrix Gla protein"	"MGP"	"MGP"
"MGST1"	"P10620;P10620-2"	"Microsomal glutathione S-transferase 1"	"MGST1"	"MGST1"
"MGST3"	"O14880"	"Microsomal glutathione S-transferase 3"	"MGST3"	"MGST3"
"MIA3"	"Q5JRA6;Q5JRA6-2;Q5JRA6-4;Q5JRA6-3"	"Melanoma inhibitory activity protein 3"	"MIA3"	"MIA3"
"MICAL1"	"Q8TDZ2-2;Q8TDZ2;Q8TDZ2-4;Q8TDZ2-3"	"Protein-methionine sulfoxide oxidase MICAL1"	"MICAL1"	"MICAL1"
"MICAL2"	"O94851-6;O94851-4;O94851-2;O94851-5;O94851-3;O94851"	"Protein-methionine sulfoxide oxidase MICAL2"	"MICAL2"	"MICAL2"
"MICAL3"	"Q7RTP6;Q7RTP6-2;Q7RTP6-4;Q7RTP6-3;Q7RTP6-5"	"Protein-methionine sulfoxide oxidase MICAL3"	"MICAL3"	"MICAL3"
"MICALL1"	"Q8N3F8"	"MICAL-like protein 1"	"MICALL1"	"MICALL1"
"MICALL2"	"Q8IY33;Q8IY33-4;Q8IY33-3;Q8IY33-5"	"MICAL-like protein 2"	"MICALL2"	"MICALL2"
"MICU2"	"Q8IYU8"	"Calcium uptake protein 2, mitochondrial"	"MICU2"	"MICU2"
"MID1"	"O15344;O15344-2"	"E3 ubiquitin-protein ligase Midline-1"	"MID1"	"MID1"
"MIEN1"	"Q9BRT3"	"Migration and invasion enhancer 1"	"MIEN1"	"MIEN1"
"MIER1"	"Q8N108-16;Q8N108-14;Q8N108-18;Q8N108-17;Q8N108-15;Q8N108;Q8N108-13;Q8N108-12;Q8N108-19"	"Mesoderm induction early response protein 1"	"MIER1"	"MIER1"
"MIF"	"P14174"	"Macrophage migration inhibitory factor"	"MIF"	"MIF"
"MIF4GD"	"A9UHW6;A9UHW6-2;A9UHW6-3"	"MIF4G domain-containing protein"	"MIF4GD"	"MIF4GD"
"MINA"	"Q8IUF8;Q8IUF8-4;Q8IUF8-2"	"Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA"	"MINA"	"MINA"
"MINK1"	"Q8N4C8-4;Q8N4C8;Q8N4C8-5;Q8N4C8-2;Q8N4C8-3"	"Misshapen-like kinase 1"	"MINK1"	"MINK1"
"MINOS1"	"Q5TGZ0;Q5TGZ0-2"	"MICOS complex subunit MIC10"	"MINOS1"	"MINOS1"
"MINPP1"	"Q9UNW1;Q9UNW1-4;Q9UNW1-3;Q9UNW1-2"	"Multiple inositol polyphosphate phosphatase 1"	"MINPP1"	"MINPP1"
"MIOS"	"Q9NXC5;Q9NXC5-2"	"WD repeat-containing protein mio"	"MIOS"	"MIOS"
"MIPEP"	"Q99797"	"Mitochondrial intermediate peptidase"	"MIPEP"	"MIPEP"
"MIS12"	"Q9H081"	"Protein MIS12 homolog"	"MIS12"	"MIS12"
"MISP"	"Q8IVT2"	"Mitotic interactor and substrate of PLK1"	"MISP"	"MISP"
"MKL2"	"Q9ULH7-4;Q9ULH7;Q9ULH7-5;Q9ULH7-2;Q9ULH7-3"	"MKL/myocardin-like protein 2"	"MKL2"	"MKL2"
"MLEC"	"Q14165"	"Malectin"	"MLEC"	"MLEC"
"MLF2"	"Q15773"	"Myeloid leukemia factor 2"	"MLF2"	"MLF2"
"MLLT1"	"Q03111"	"Protein ENL"	"MLLT1"	"MLLT1"
"MLLT4"	"P55196-3"	"Afadin"	"MLLT4"	"MLLT4"
"MLLT4.1"	"P55196-5;P55196"	"Afadin"	"MLLT4"	"MLLT4.1"
"MLPH"	"Q9BV36-2;Q9BV36;Q9BV36-4;Q9BV36-5"	"Melanophilin"	"MLPH"	"MLPH"
"MLST8"	"Q9BVC4;Q9BVC4-4;Q9BVC4-3;Q9BVC4-5"	"Target of rapamycin complex subunit LST8"	"MLST8"	"MLST8"
"MLYCD"	"O95822-2;O95822"	"Malonyl-CoA decarboxylase, mitochondrial"	"MLYCD"	"MLYCD"
"MMAA"	"Q8IVH4"	"Methylmalonic aciduria type A protein, mitochondrial"	"MMAA"	"MMAA"
"MMAB"	"Q96EY8"	"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial"	"MMAB"	"MMAB"
"MME"	"P08473"	"Neprilysin"	"MME"	"MME"
"MMGT1"	"Q8N4V1;Q8N4V1-2"	"Membrane magnesium transporter 1"	"MMGT1"	"MMGT1"
"MMP14"	"P50281"	"Matrix metalloproteinase-14"	"MMP14"	"MMP14"
"MMP7"	"P09237"	"Matrilysin"	"MMP7"	"MMP7"
"MMS19"	"Q96T76-9;Q96T76;Q96T76-8;Q96T76-5;Q96T76-7"	"MMS19 nucleotide excision repair protein homolog"	"MMS19"	"MMS19"
"MMTAG2"	"Q9BU76-4;Q9BU76;Q9BU76-3;Q9BU76-2"	"Multiple myeloma tumor-associated protein 2"	"MMTAG2"	"MMTAG2"
"MNAT1"	"P51948;P51948-2"	"CDK-activating kinase assembly factor MAT1"	"MNAT1"	"MNAT1"
"MOB1B"	"Q7L9L4;Q7L9L4-2"	"MOB kinase activator 1B"	"MOB1B"	"MOB1B"
